,code,value
0,gb_gnk,555483443.0
1,gb_idra,233398890.0
2,gb_bofi,2369608819.0
3,gb_nihd,547485200.0
4,gb_tnet,4107400223.0
5,gb_trvn,113937376.0
6,gb_kodk,130234999.0
7,gb_wstg,50397603.0
8,gb_peix,85425900.0
9,gb_cetv,895029574.0
10,gb_gme,1615115000.0
11,gb_cbk,35225957.0
12,gb_vnce,263694550.0
13,gb_bita,1490441903.0
14,gb_cytr,35992126.0
15,gb_edu,13505597438.0
16,gb_vrs,992868398.0
17,gb_vbfc,48786461.0
18,gb_pgti,1265114700.0
19,gb_artx,91377224.0
20,gb_immr,339921757.0
21,gb_dswl,54591212.0
22,gb_koss,22517253.0
23,gb_idsa,17999460.0
24,gb_wbai,569817228.0
25,gb_oesx,29256467.0
26,gb_hrb,5532678113.0
27,gb_ely,2140953371.0
28,gb_astc,14458533.0
30,gb_qiwi,665300300.0
31,gb_veco,533643672.0
33,gb_axn,9282280.0
34,gb_quik,96466500.0
35,gb_gass,139511970.0
36,gb_gsat,674259416.0
37,gb_hk,642399412.0
38,gb_kone,10439150.0
39,gb_clwt,7938353.0
40,gb_sqns,157737258.0
41,gb_merc,1134514800.0
42,gb_cort,1513308195.0
43,gb_gtn,1495463364.0
44,gb_bspm,5274376.0
45,gb_vnet,1049834799.0
48,gb_mtor,1869265000.0
49,gb_amg,7902666000.0
50,gb_mni,72730710.0
51,gb_csiq,747114712.0
52,gb_ntes,27560640562.0
53,gb_rdcm,246977250.0
54,gb_osn,51061063.0
55,gb_tues,149252619.0
56,gb_pten,3805119252.0
57,gb_gnmk,413687260.0
58,gb_pjc,1045416097.0
59,gb_wtw,4855596960.0
60,gb_athx,268852325.0
61,gb_ivac,120820788.0
62,gb_oclr,1548920100.0
63,gb_towr,730412650.0
64,gb_ctsh,43447800000.0
65,gb_cpa,3646943149.0
66,gb_nav,4236544000.0
67,gb_eros,776547387.0
68,gb_kins,179112528.0
69,gb_aav,549285657.0
70,gb_mdwd,171226685.0
71,gb_nxst,3603069070.0
72,gb_crcm,591041880.0
74,gb_nem,16997370000.0
75,gb_live,20333130.0
76,gb_tops,10.0
78,gb_nm,106050540.0
79,gb_wnc,1071467740.0
81,gb_cyou,739732560.0
82,gb_evc,475264558.0
83,gb_wix,4679422400.0
84,gb_cbpo,2658592600.0
85,gb_sfun,1268032566.0
86,gb_clr,23633535591.0
87,gb_pnk,2001878044.0
88,gb_jks,383824721.0
89,gb_gtim,58289424.0
90,gb_opy,431483385.0
91,gb_ptie,6205958.0
92,gb_crr,218618874.0
93,gb_fro,845650433.0
94,gb_ach,8401462899.0
95,gb_salm,104708988.0
96,gb_mags,129442357.0
97,gb_pesi,57751578.0
98,gb_hds,8292684000.0
100,gb_joe,1097707250.0
102,gb_par,391484610.0
103,gb_tex,2845052000.0
105,gb_gpre,743754731.0
106,gb_ihc,534089753.0
107,gb_ctrn,430606767.0
108,gb_nice,6939371386.0
109,gb_cato,599371976.0
110,gb_kgc,3588156716.0
111,gb_clne,598086487.0
113,gb_df,740085084.0
114,gb_smbc,355455033.0
115,gb_orbk,3090960000.0
116,gb_ncs,982213437.0
118,gb_cot,2243504419.0
119,gb_stra,1517901249.0
120,gb_drys,451099746.0
121,gb_prts,49311930.0
122,gb_veev,12251620378.0
123,gb_tti,624087781.0
124,gb_feng,317042484.0
126,gb_ipi,425733367.0
127,gb_pvg,1582625042.0
129,gb_holi,1276188372.0
130,gb_mho,740556509.0
131,gb_gpor,1918453748.0
132,gb_ix,20172742166.0
133,gb_cent,2082655182.0
134,gb_sofo,9323947.0
135,gb_ora,2628716764.0
136,gb_akba,444497449.0
137,gb_hos,154515450.0
138,gb_cde,1032648640.0
139,gb_trex,4765904140.0
140,gb_oxm,1596099812.0
141,gb_ten,2274922950.0
142,gb_fsfg,152923641.0
143,gb_atu,1766277112.0
144,gb_bfr,2019734603.0
145,gb_orn,251797294.0
146,gb_data,8303986640.0
147,gb_chu,27734100000.0
148,gb_star,686476800.0
150,gb_lxu,200008805.0
151,gb_gol,822315221.0
153,gb_aer,8432449586.0
154,gb_au,2978700065.0
155,gb_cpl,5565448873.0
156,gb_uti,66241796.0
157,gb_arex,210669518.0
158,gb_nbl,14030470000.0
160,gb_nwy,324018100.0
161,gb_tecd,3298764852.0
163,gb_wuba,8808965409.0
164,gb_spn,1426271537.0
165,gb_egy,133696059.0
167,gb_ceco,1165776702.0
168,gb_cha,36775668155.0
169,gb_bnso,15298027.0
170,gb_sumr,35848818.0
171,gb_iin,442275450.0
172,gb_eght,2081078102.0
173,gb_wg,9800495.0
174,gb_tkc,4193368644.0
175,gb_ctrp,19517126412.0
176,gb_ccih,30956278.0
177,gb_aten,487333200.0
178,gb_cmre,769784759.0
179,gb_wstl,40374794.0
180,gb_cspi,46370651.0
181,gb_lqdt,227979090.0
182,gb_iag,1936390000.0
184,gb_usg,6002391320.0
185,gb_kndi,205189900.0
187,gb_gcap,321345315.0
188,gb_dht,607396456.0
190,gb_ks,3356920984.0
191,gb_vips,4344957562.0
192,gb_qlys,3344981468.0
193,gb_eqs,28472963.0
194,gb_symc,12036102889.0
195,gb_ozm,365324907.0
196,gb_rbcn,22201362.0
197,gb_hees,1204730731.0
198,gb_rrd,366784000.0
199,gb_rvsb,212159682.0
200,gb_twin,297045241.0
201,gb_crk,136267322.0
205,gb_sfl,1517479786.0
206,gb_eix,22549393567.0
207,gb_gntx,6561549106.0
208,gb_xec,7857484096.0
209,gb_lm,2711866266.0
210,gb_athm,8991755904.0
211,gb_ges,1886297261.0
212,gb_whr,8324550000.0
