,_id,amount,classtype,close,date,high,low,market,open,stock_code,time,volume
0,5b445f09ae17be15ac56bcc3,17481508,kline_min1,10.29,2018-06-08,10.33,10.29,0,10.33,000001,931,1694100
1,5b445f09ae17be15ac571841,15486731,kline_min1,27.12,2018-06-08,27.17,27.1,0,27.1,000002,931,571100
3,5b445f0aae17be15ac576afc,21152,kline_min1,21.11,2018-06-08,21.25,21.11,0,21.25,000004,931,1000
5,5b445f0aae17be15ac57b3ce,125015,kline_min1,3.38,2018-06-08,3.39,3.38,0,3.39,000005,931,36900
8,5b445f0aae17be15ac5809de,177646,kline_min1,6.94,2018-06-08,6.94,6.91,0,6.94,000006,931,25600
9,5b445f0aae17be15ac584b94,514366,kline_min1,13.8,2018-06-08,13.94,13.8,0,13.94,000007,931,37000
12,5b445f0bae17be15ac58eace,248280,kline_min1,5.81,2018-06-08,5.81,5.78,0,5.78,000009,931,42800
14,5b445f0bae17be15ac5945b9,216033,kline_min1,3.76,2018-06-08,3.78,3.75,0,3.78,000010,931,57400
16,5b445f0bae17be15ac599f4c,244363,kline_min1,13.26,2018-06-08,13.3,13.26,0,13.27,000011,931,18400
18,5b445f3dae17be15ac59f976,376226,kline_min1,6.67,2018-06-08,6.68,6.66,0,6.68,000012,931,56400
19,5b445f3dae17be15ac5a54c6,1974604,kline_min1,13.07,2018-06-08,13.12,13.05,0,13.12,000014,931,150900
20,5b445f3eae17be15ac5aaf1b,1267006,kline_min1,5.38,2018-06-08,5.4,5.35,0,5.35,000016,931,236000
23,5b445f3eae17be15ac5b070e,44730,kline_min1,5.14,2018-06-08,5.15,5.14,0,5.14,000017,931,8700
25,5b445f3eae17be15ac5b5990,1112496,kline_min1,6.02,2018-06-08,6.02,6.02,0,6.02,000018,931,184800
27,5b445f3eae17be15ac5bb4c3,777538,kline_min1,8.95,2018-06-08,9.0,8.92,0,9.0,000019,931,86700
28,5b445f3fae17be15ac5bf079,984586,kline_min1,14.71,2018-06-08,14.89,14.66,0,14.66,000020,931,66300
30,5b445f3fae17be15ac5c44f2,591595,kline_min1,7.96,2018-06-08,7.97,7.95,0,7.97,000021,931,74300
32,5b445f3fae17be15ac5ca734,1177280,kline_min1,15.66,2018-06-08,15.66,15.48,0,15.48,000023,931,75700
36,5b445f66ae17be15ac5cff2a,603725,kline_min1,34.44,2018-06-08,34.58,34.44,0,34.58,000025,931,17500
37,5b445f66ae17be15ac5d597a,113395,kline_min1,10.3,2018-06-08,10.33,10.3,0,10.33,000026,931,11000
38,5b445f66ae17be15ac5db075,92425,kline_min1,5.62,2018-06-08,5.64,5.62,0,5.64,000027,931,16400
39,5b445f67ae17be15ac5e0a9c,78839,kline_min1,52.86,2018-06-08,52.86,52.51,0,52.51,000028,931,1500
40,5b445f67ae17be15ac5e6468,158468,kline_min1,6.97,2018-06-08,6.99,6.97,0,6.99,000030,931,22700
43,5b445f67ae17be15ac5ebea4,377118,kline_min1,6.64,2018-06-08,6.73,6.63,0,6.73,000031,931,56400
45,5b445f67ae17be15ac5ef2af,161616,kline_min1,8.66,2018-06-08,8.73,8.62,0,8.73,000032,931,18600
47,5b445f68ae17be15ac5f48bb,884878,kline_min1,17.57,2018-06-08,17.8,17.57,0,17.8,000034,931,49900
53,5b445f8eae17be15ac5f6e09,225493,kline_min1,7.23,2018-06-08,7.23,7.22,0,7.22,000036,931,31200
54,5b445f8eae17be15ac5fc218,154044,kline_min1,6.8,2018-06-08,6.88,6.8,0,6.88,000037,931,22400
55,5b445f8eae17be15ac605408,792533,kline_min1,15.37,2018-06-08,15.42,15.37,0,15.37,000039,931,51500
56,5b445f8fae17be15ac60af6c,1242991,kline_min1,11.4,2018-06-08,11.48,11.4,0,11.48,000040,931,108600
57,5b445f8fae17be15ac615603,73920,kline_min1,8.06,2018-06-08,8.13,8.06,0,8.13,000043,931,9100
59,5b445f8fae17be15ac61a81e,96998,kline_min1,7.35,2018-06-08,7.35,7.33,0,7.35,000045,931,13200
61,5b445f90ae17be15ac61ffcc,234343,kline_min1,6.97,2018-06-08,6.98,6.97,0,6.98,000046,931,33600
69,5b445fbaae17be15ac6294de,1207603,kline_min1,31.77,2018-06-08,31.9,31.71,0,31.9,000049,931,38000
70,5b445fbbae17be15ac62f028,5909274,kline_min1,16.76,2018-06-08,16.87,16.76,0,16.87,000050,931,350900
71,5b445fbbae17be15ac634698,182044,kline_min1,6.17,2018-06-08,6.18,6.16,0,6.18,000055,931,29500
72,5b445fbbae17be15ac639e2d,42705,kline_min1,9.49,2018-06-08,9.49,9.49,0,9.49,000056,931,4500
73,5b445fbbae17be15ac63cf26,38367,kline_min1,6.09,2018-06-08,6.09,6.09,0,6.09,000058,931,6300
