bat 1 14:50:00.06 
dkm 1 2018-01-05 14:50:05.966000
dkm 2 2018-01-05 14:50:05.966000
gd 1 2018-01-05 14:50:05.966000
gd 2 2018-01-05 14:50:05.968000
gd 3 2018-01-05 14:50:05.969000
gd 4 2018-01-05 14:50:07.199000
gd 5 2018-01-05 14:50:23.052000
gd 6 2018-01-05 14:51:22.189000
bat 2 14:51:22.54 
bat 1 14:55:00.02 
dkm 1 2018-01-05 14:55:05.995000
dkm 2 2018-01-05 14:55:05.995000
gd 1 2018-01-05 14:55:05.995000
gd 2 2018-01-05 14:55:05.996000
gd 3 2018-01-05 14:55:05.997000
gd 4 2018-01-05 14:55:07.256000
gd 5 2018-01-05 14:56:06.597000
gd 6 2018-01-05 14:57:07.133000
bat 2 14:57:07.56 
dkm 1 2018-01-05 15:06:09.709000
dkm 2 2018-01-05 15:06:09.710000
gd 1 2018-01-05 15:06:09.710000
gd 2 2018-01-05 15:06:09.711000
gd 3 2018-01-05 15:06:09.711000
gd 4 2018-01-05 15:06:10.919000
gd 5 2018-01-05 15:07:11.311000
gd 6 2018-01-05 15:08:13.315000
gd 1 2018-01-05 15:08:19.853000
gd 2 2018-01-05 15:08:19.854000
gd 3 2018-01-05 15:08:19.855000
gd 4 2018-01-05 15:08:21.089000
gd 5 2018-01-05 15:09:20.926000
gd 6 2018-01-05 15:11:10.801000
gd 1 2018-01-05 15:11:17.492000
gd 2 2018-01-05 15:11:17.493000
gd 3 2018-01-05 15:11:17.494000
gd 4 2018-01-05 15:11:18.552000
gd 5 2018-01-05 15:11:58.824000
gd 6 2018-01-05 15:12:43.058000
gd 1 2018-01-05 15:12:50.833000
gd 2 2018-01-05 15:12:50.834000
gd 3 2018-01-05 15:12:50.835000
gd 4 2018-01-05 15:12:51.880000
gd 5 2018-01-05 15:13:16.770000
gd 6 2018-01-05 15:13:56.315000
gd 1 2018-01-05 15:14:03.940000
gd 2 2018-01-05 15:14:03.941000
gd 3 2018-01-05 15:14:03.942000
gd 4 2018-01-05 15:14:05.139000
gd 5 2018-01-05 15:14:05.180000
gd 6 2018-01-05 15:14:53.373000
